title,year,score,rank,category
Running Scared,1986,63,140,Fresh
Equilibrium,2002,40,139,Rotten
Hero,2002,94,138,Certified Fresh
Road House,1989,44,137,Rotten
Unstoppable,2010,87,136,Certified Fresh
Shaft,1971,88,135,Certified Fresh
The Villainess,2017,85,134,Certified Fresh
Highlander,1986,69,133,Fresh
Die Hard 2,1990,69,132,Fresh
National Treasure,2004,46,131,Rotten
The Protector,2005,53,130,Rotten
Revenge,2017,92,129,Certified Fresh
El Mariachi,1992,91,128,Certified Fresh
A Touch of Zen,1971,97,127,Fresh
Top Gun,1986,59,126,Rotten
Con Air,1997,58,125,Rotten
The Expendables 2,2012,68,124,Fresh
The Mummy,1999,62,123,Fresh
Mr. & Mrs. Smith,2005,60,122,Fresh
Rush Hour,1998,62,121,Fresh
The Equalizer,2014,61,120,Fresh
Captain America: Civil War,2016,90,119,Certified Fresh
Air Force One,1997,79,118,Certified Fresh
Bloodsport,1988,48,117,Rotten
Blade,1998,58,116,Rotten
Bad Boys,1995,43,115,Rotten
Die Hard With a Vengeance,1995,60,114,Fresh
The Running Man,1987,66,113,Fresh
Code of Silence,1985,67,112,Fresh
Shoot 'Em Up,2007,67,111,Fresh
Crank,2006,62,110,Fresh
Machete,2010,70,109,Certified Fresh
Drive,2011,93,108,Certified Fresh
Batman,1989,77,107,Certified Fresh
Under Siege,1992,83,106,Fresh
Independence Day,1996,68,105,Fresh
Bullitt,1968,98,104,Certified Fresh
Wanted,2008,71,103,Certified Fresh
Superman: The Movie,1978,93,102,Certified Fresh
Ronin,1998,70,101,Fresh
They Live,1988,87,100,Certified Fresh
Cliffhanger,1993,68,99,Fresh
Marvel's the Avengers,2012,91,98,Certified Fresh
Hot Fuzz,2007,91,97,Certified Fresh
The Warriors,1979,88,96,Certified Fresh
Starship Troopers,1997,72,95,Fresh
Elite Squad 2,2010,91,94,Certified Fresh
Point Break,1991,70,93,Fresh
The Long Kiss Goodnight,1996,67,92,Fresh
The Guest,2014,92,91,Certified Fresh
Taken,2008,60,90,Fresh
300,2006,61,89,Fresh
True Lies,1994,70,88,Fresh
Demolition Man,1993,64,87,Fresh
Hardcore Henry,2015,51,86,Rotten
Police Story,1985,93,85,Fresh
Brotherhood of the Wolf,2001,73,84,Fresh
Kingsman: The Secret Service,2014,75,83,Certified Fresh
The Fifth Element,1997,71,82,Fresh
Big Trouble in Little China,1986,73,81,Certified Fresh
Atomic Blonde,2017,79,80,Certified Fresh
Rumble in the Bronx,1995,81,79,Certified Fresh
District B13,2004,82,78,Certified Fresh
Beverly Hills Cop,1984,82,77,Certified Fresh
Ong-Bak: The Thai Warrior,2003,85,76,Certified Fresh
Collateral,2004,86,75,Certified Fresh
Iron Monkey,1993,91,74,Certified Fresh
Escape From New York,1981,86,73,Certified Fresh
Battle Royale,2000,90,72,Certified Fresh
Spider-Man 2,2004,93,71,Certified Fresh
13 Assassins,2010,95,70,Certified Fresh
Full Contact,1992,89,69,Fresh
Indiana Jones and the Last Crusade,1989,84,68,Certified Fresh
Kung Fu Hustle,2004,91,67,Certified Fresh
A Better Tomorrow,1986,93,66,Fresh
Iron Man,2008,94,65,Certified Fresh
The Night Comes for Us,2018,92,64,Fresh
Logan,2017,93,63,Certified Fresh
007: Goldfinger,1964,99,62,Certified Fresh
Assault on Precinct 13,1976,96,61,Certified Fresh
Wonder Woman,2017,93,60,Certified Fresh
The Chinese Connection,1972,83,59,Fresh
Captain America: The Winter Soldier,2014,90,58,Certified Fresh
Oldboy,2003,82,57,Certified Fresh
The French Connection,1971,97,56,Certified Fresh
Furious 7,2015,82,55,Certified Fresh
La Femme Nikita,1990,89,54,Certified Fresh
Supercop,1992,93,53,Certified Fresh
Dirty Harry,1971,89,52,Certified Fresh
Edge of Tomorrow,2014,91,51,Certified Fresh
X2,2003,85,50,Certified Fresh
The Fugitive,1993,96,49,Certified Fresh
Black Panther,2018,96,48,Certified Fresh
Inception,2010,87,47,Certified Fresh
Braveheart,1995,76,46,Certified Fresh
Minority Report,2002,89,45,Certified Fresh
Avengers: Endgame,2019,94,44,Certified Fresh
Dredd,2012,80,43,Certified Fresh
The Bourne Identity,2002,84,42,Certified Fresh
Ip Man,2008,86,41,Fresh
Face/Off,1997,93,40,Certified Fresh
To Live and Die in L.A.,1985,88,39,Certified Fresh
The Dark Knight,2008,94,38,Certified Fresh
Mission: Impossible - Ghost Protocol,2011,94,37,Certified Fresh
Fast Five,2011,78,36,Certified Fresh
Lethal Weapon,1987,80,35,Certified Fresh
The Rock,1996,67,34,Fresh
RoboCop,1987,92,33,Certified Fresh
John Wick: Chapter 2,2017,89,32,Certified Fresh
Casino Royale,2006,94,31,Certified Fresh
Baby Driver,2017,92,30,Certified Fresh
Fist of Legend,1994,100,29,Fresh
The Killer,1989,95,28,Certified Fresh
The Raid 2,2014,83,27,Certified Fresh
Enter the Dragon,1973,88,26,Certified Fresh
Commando,1985,68,25,Fresh
First Blood,1982,86,24,Certified Fresh
Mission: Impossible Rogue Nation,2015,94,23,Certified Fresh
The Terminator,1984,100,22,Certified Fresh
Gladiator,2000,80,21,Certified Fresh
Kill Bill: Vol. 1,2003,85,20,Certified Fresh
The Professional,1994,75,19,Certified Fresh
Speed,1994,95,18,Certified Fresh
Drunken Master II,1994,85,17,Certified Fresh
John Wick,2014,86,16,Certified Fresh
"Crouching Tiger, Hidden Dragon",2000,98,15,Certified Fresh
Predator,1987,80,14,Certified Fresh
The Bourne Ultimatum,2007,92,13,Certified Fresh
Total Recall,1990,82,12,Certified Fresh
Mad Max 2: The Road Warrior,1981,93,11,Certified Fresh
Heat,1995,83,10,Certified Fresh
The Raid: Redemption,2011,87,9,Certified Fresh
Mission: Impossible - Fallout,2018,98,8,Certified Fresh
Raiders of the Lost Ark,1981,94,7,Certified Fresh
Aliens,1986,94,6,Certified Fresh
Hard-Boiled,1992,92,5,Certified Fresh
The Matrix,1999,83,4,Certified Fresh
Terminator 2: Judgment Day,1991,91,3,Certified Fresh
Die Hard,1988,94,2,Certified Fresh
Mad Max: Fury Road,2015,97,1,Certified Fresh
